2019-02-26 23:58:11 startup archives install
2019-02-26 23:58:11 install base-passwd:amd64 <none> 3.5.39
2019-02-26 23:58:11 status half-installed base-passwd:amd64 3.5.39
2019-02-26 23:58:11 status unpacked base-passwd:amd64 3.5.39
2019-02-26 23:58:11 status unpacked base-passwd:amd64 3.5.39
2019-02-26 23:58:11 configure base-passwd:amd64 3.5.39 3.5.39
2019-02-26 23:58:11 status unpacked base-passwd:amd64 3.5.39
2019-02-26 23:58:11 status half-configured base-passwd:amd64 3.5.39
2019-02-26 23:58:11 status installed base-passwd:amd64 3.5.39
2019-02-26 23:58:11 startup archives install
2019-02-26 23:58:11 install base-files:amd64 <none> 9.4ubuntu4
2019-02-26 23:58:11 status half-installed base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status unpacked base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status half-configured base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 status installed base-files:amd64 9.4ubuntu4
2019-02-26 23:58:11 startup archives install
2019-02-26 23:58:11 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2019-02-26 23:58:11 status half-configured dpkg 1.18.4ubuntu1
2019-02-26 23:58:11 status unpacked dpkg 1.18.4ubuntu1
2019-02-26 23:58:11 status half-installed dpkg 1.18.4ubuntu1
2019-02-26 23:58:12 status half-installed dpkg 1.18.4ubuntu1
2019-02-26 23:58:12 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-26 23:58:12 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-26 23:58:12 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2019-02-26 23:58:12 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-26 23:58:12 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-26 23:58:12 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-26 23:58:12 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-26 23:58:12 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-26 23:58:12 status half-configured dpkg:amd64 1.18.4ubuntu1
2019-02-26 23:58:12 status installed dpkg:amd64 1.18.4ubuntu1
2019-02-26 23:58:12 startup archives install
2019-02-26 23:58:12 install libc6:amd64 <none> 2.23-0ubuntu3
2019-02-26 23:58:12 status half-installed libc6:amd64 2.23-0ubuntu3
2019-02-26 23:58:12 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-26 23:58:12 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-26 23:58:12 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2019-02-26 23:58:12 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-26 23:58:12 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-26 23:58:12 status half-configured libc6:amd64 2.23-0ubuntu3
2019-02-26 23:58:12 status installed libc6:amd64 2.23-0ubuntu3
2019-02-26 23:58:12 startup archives install
2019-02-26 23:58:12 install perl-base:amd64 <none> 5.22.1-9
2019-02-26 23:58:12 status half-installed perl-base:amd64 5.22.1-9
2019-02-26 23:58:13 status unpacked perl-base:amd64 5.22.1-9
2019-02-26 23:58:13 status unpacked perl-base:amd64 5.22.1-9
2019-02-26 23:58:13 configure perl-base:amd64 5.22.1-9 5.22.1-9
2019-02-26 23:58:13 status unpacked perl-base:amd64 5.22.1-9
2019-02-26 23:58:13 status half-configured perl-base:amd64 5.22.1-9
2019-02-26 23:58:13 status installed perl-base:amd64 5.22.1-9
2019-02-26 23:58:13 startup archives install
2019-02-26 23:58:13 install mawk:amd64 <none> 1.3.3-17ubuntu2
2019-02-26 23:58:13 status half-installed mawk:amd64 1.3.3-17ubuntu2
2019-02-26 23:58:13 status unpacked mawk:amd64 1.3.3-17ubuntu2
2019-02-26 23:58:13 status unpacked mawk:amd64 1.3.3-17ubuntu2
2019-02-26 23:58:13 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2019-02-26 23:58:13 status unpacked mawk:amd64 1.3.3-17ubuntu2
